X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,SCH_CLASS,DISTRICT,PIN,MAJOR,MINOR,FEATUREDES,OSPI_CODE
-122.152302857805,47.608460571195,1,207,80,662,Sammamish High School,Sammamish,100 140th Ave SE,98005,-122.15230454,47.60845843,10,BELLEVUE,3425059019,342505,9019,School-High,3282
-122.205414761768,47.7689064535777,2,263,113,660,Saint Brendan Catholic School,Saint Brendan,10049 NE 195th St,98011,-122.20541574,47.76890453,20,NORTHSHORE,0526059084,052605,9084,School-Elementary,0
-122.348454353605,47.5252651255309,3,884,527409,660,Highland Park Elementary School,Highland Park,1012 SW Trenton St,98106,-122.34845646,47.5252633,10,SEATTLE,7972603210,797260,3210,School-Elementary,2269
-122.200169847335,47.6672445020406,4,475,8634,660,Lakeview Elementary School,Lakeview,10400 NE 68th St,98033,-122.20017129,47.66724247,10,LAKE WASHINGTON,7882600132,788260,0132,School-Elementary,3041
-122.29472667839,47.7080421094597,5,1093,12282,662,Nathan Hale High School,Nathan Hale,10750 30th Ave NE,98125,-122.29472798,47.70804026,10,SEATTLE,2826049152,282604,9152,School-High,3479
-122.191117367186,47.663801985007,6,6600178,8643,664,International Community School,International Community,11133 NE 65th St  ,98033,-122.19111882,47.66379994,10,LAKE WASHINGTON,0825059248,082505,9248,School-Alternative,1706
-122.315783450319,47.5019997956248,7,1286,12270,660,Southern Heights Elementary School,Southern Heights,11249 14th Ave S,98168,-122.31578566,47.50199793,10,HIGHLINE,3361400255,336140,0255,School-Elementary,3032
-122.183727144683,47.505722633023,8,6600369,12184,661,McKnight Middle School,McKnight,1200 Edmonds Ave NE,98056,-122.18372931,47.50572053,10,RENTON,0423059048,042305,9048,School-Junior High/Middle,3035
-122.232295934041,47.4925217530036,9,1307,519618,661,Dimmit Middle School,Dimmit,12320 80th Ave S,98178,-122.23229819,47.49251977,10,RENTON,1180007450,118000,7450,School-Junior High/Middle,3280
-121.875816552132,47.5324933801698,10,6600676,195119,660,Cascade View Elementary School-Snoqualmie,Cascade View,34816 SE Ridge St,98065,-121.87581831,47.53249075,10,SNOQUALMIE VALLEY,2624079047,262407,9047,School-Elementary,5015
-122.340484252165,47.6951045840056,11,6600134,269619,661,Robert Eagle Staff Middle School,Robert Eagle Staff,1330 N 90th St,98103,-122.34048561,47.69510282,10,SEATTLE,3126049064,312604,9064,School-Junior High/Middle,0
-122.175720940657,47.313574653216,12,46,778311,663,Green River College,GRC,12401 SE 320th St,98092,-122.17572419,47.31357254,10,AUBURN,1621059003,162105,9003,School-College or University,5952
-122.308027149626,47.6319314809062,13,950,425772,660,Stevens Elementary School,Stevens,1242 18th Ave E,98112,-122.30802878,47.63192964,10,SEATTLE,1337801270,133780,1270,School-Elementary,2080
-122.173963495028,47.4166715588953,14,381,8580,662,Kentridge High School,Kentridge,12430 SE 208th St,98031,-122.17396616,47.41666943,10,KENT,0422059014,042205,9014,School-High,3640
-122.17330888912,47.6621374099151,15,451,8638,660,Benjamin Franklin Elementary School,Benjamin Franklin,12434 NE 60th St,98033,-122.17331033,47.66213533,10,LAKE WASHINGTON,0925059028,092505,9028,School-Elementary,0
-122.172497840217,47.4310372526629,16,737,604256,661,Meeker Middle School,Meeker,12600 SE 192nd St,98058,-122.17250042,47.43103512,10,KENT,3323059054,332305,9054,School-Junior High/Middle,3764
-122.172876368747,47.5919579873151,17,169,89,660,Woodridge Elementary School,Woodridge,12619 SE 20th Pl,98005,-122.17287814,47.59195588,10,BELLEVUE,9541600595,954160,0595,School-Elementary,3167
-122.17091365698,47.5521713591316,18,6600686,237975,664,Jing Mei Elementary School,Jing Mei,12635 SE 56th St,98006,-122.17091561,47.55216924,10,BELLEVUE,2124059022,212405,9022,School-Alternative,
-122.171899905923,47.4061368854474,19,400,8585,660,Soos Creek Elementary School,Soos Creek,12651 SE 218th Pl,98031,-122.17190263,47.40613476,10,KENT,0922059107,092205,9107,School-Elementary,3707
-122.170994108166,47.3783337725644,20,401,670208,660,Martin Sortun Elementary School,Martin Sortun ,12711 SE 248th St,98030,-122.17099699,47.37833164,10,KENT,2122059018,212205,9018,School-Elementary,4294
-122.230444385294,47.7159249321068,21,499,8618,660,Carl Sandburg Elementary School,Carl Sandburg,12801 84th Ave NE,98034,-122.23044563,47.71592296,10,LAKE WASHINGTON,3840700025,384070,0025,School-Elementary,0
-122.230444385294,47.7159249321068,22,6600012,8618,664,Discovery Community School,Discovery Community,12801 84th Ave NE,98034,-122.23044563,47.71592296,10,LAKE WASHINGTON,3840700025,384070,0025,School-Alternative,1658
-122.306856390165,47.724055437688,23,1099,248792,660,Olympic Hills Elementary School,Olympic Hills,13018 20th Ave NE,98125,-122.30685762,47.72405361,10,SEATTLE,2126049041,212604,9041,School-Elementary,2976
-122.354334721183,47.7246824201952,24,1129,247735,660,Broadview-Thomson K-8 School,Broadview-Thomson,13052 Greenwood Ave N,98133,-122.35433594,47.7246807,10,SEATTLE,1926049025,192604,9025,School-Elementary,2209
-122.352217548897,47.3101748238888,25,329,2382,660,Silver Lake Elementary School,Silver Lake,1310 SW 325th Pl,98023,-122.35222083,47.31017308,10,FEDERAL WAY,1821049033,182104,9033,School-Elementary,4343
-122.211068770257,47.3064512680148,26,69,41,660,Valley Christian School,Valley Christian,1312 2nd St SE,98002,-122.21107206,47.30644924,20,AUBURN,2149800171,214980,0171,School-Elementary,0
-122.195949892366,47.6860387794399,27,485,8628,660,Peter Kirk Elementary School,Peter Kirk,1312 6th St,98033,-122.19595125,47.68603675,10,LAKE WASHINGTON,3982701890,398270,1890,School-Elementary,0
-122.373077407812,47.6835911118526,28,1018,835325,660,Whittier Elementary School,Whittier,1320 NW 75th St,98117,-122.37307881,47.68358941,10,SEATTLE,4240400005,424040,0005,School-Elementary,2092
-122.340484252165,47.6951045840056,29,2148,269619,664,Licton Springs K-8 School,Licton Springs,1330 N 90th St,98103,-122.34048561,47.69510282,10,SEATTLE,3126049064,312604,9064,School-Alternative,0
-121.766951436202,47.4802127988155,30,596,12129,660,Opstad Elementary School,Opstad,1345 Stilson Ave SE,98045,-121.7669531,47.48021026,10,SNOQUALMIE VALLEY,1523089156,152308,9156,School-Elementary,4308
-122.291812617601,47.6021019702049,31,1066,447772,660,Leschi Elementary School,Leschi,135 32nd Ave,98122,-122.29181439,47.60210009,10,SEATTLE,3416600240,341660,0240,School-Elementary,2121
-122.159710935143,47.6694035505643,32,637,12152,661,Rose Hill Middle School,Rose Hill Middle,13505 NE 75th St,98052,-122.15971234,47.66940145,10,LAKE WASHINGTON,1025059119,102505,9119,School-Junior High/Middle,3706
-122.159710935143,47.6694035505643,33,6600179,12152,664,Stella Schola Middle Schol,Stella Schola,13505 NE 75th St,98052,-122.15971234,47.66940145,10,LAKE WASHINGTON,1025059119,102505,9119,School-Alternative,1975
-122.327678046435,47.7279852257635,34,1091,254609,661,Lakeside Middle School,Lakeside Middle,13510 1st Ave NE,98125,-122.32767925,47.72798345,20,SEATTLE,2026049022,202604,9022,School-Junior High/Middle,0
-122.158334830057,47.5735437213245,35,189,96,661,Tyee Middle School,Tyee,13630 SE Allen Rd,98006,-122.15833667,47.57354158,10,BELLEVUE,1524059005,152405,9005,School-Junior High/Middle,3283
-122.19569149857,47.7248124738283,36,504,165571,660,Helen Keller Elementary School,Helen Keller,13820 108th Ave NE,98034,-122.19569268,47.72481045,10,LAKE WASHINGTON,2026059105,202605,9105,School-Elementary,0
-122.331977342847,47.4780743148139,37,1278,151,662,John F. Kennedy Catholic High School,John F. Kennedy,140 S 140th St,98168,-122.33197969,47.47807247,20,HIGHLINE,1723049528,172304,9528,School-High,0
-122.326753040283,47.7327026025995,38,1090,250279,662,Lakeside High School,Lakeside High,14050 1st Ave NE,98125,-122.32675423,47.73270082,20,SEATTLE,2832100190,283210,0190,School-High,0
-122.151785597513,47.5629209773968,39,185,99,660,Somerset Elementary School,Somerset,14100 Somerset Blvd SE,98006,-122.15178749,47.56291882,10,BELLEVUE,1524059091,152405,9091,School-Elementary,3789
-122.164941001228,47.7273033822192,40,509,21187,661,Kamiakin Middle School,Kamiakin,14111 132nd Ave NE,98034,-122.16494214,47.72730131,10,LAKE WASHINGTON,2126059123,212605,9123,School-Junior High/Middle,3922
-121.992150772556,47.2043644762563,41,6600670,393851,663,Green River College - Enumclaw Campus,GRC,1414 Griffin Ave,98022,-121.99215308,47.2043628,10,ENUMCLAW,2420069046,242006,9046,School-College or University,0
-122.141551775119,47.453369196295,42,727,597271,660,Fairwood Elementary School,Fairwood,16600 148th Ave SE,98058,-122.14155422,47.45336699,10,KENT,2623059007,262305,9007,School-Elementary,3678
-122.117928642732,47.6394914924704,43,211,63,660,Ardmore Elementary School,Ardmore,16616 NE 32nd St,98008,-122.11793015,47.6394893,10,BELLEVUE,2425059033,242505,9033,School-Elementary,3633
-122.111364197538,47.4525973419881,44,733,602982,660,Maple Valley Christian Elementary School,Maple Valley Christian,16700 174th Ave SE,98058,-122.11136664,47.45259506,20,KENT,2523059050,252305,9050,School-Elementary,0
-122.116486939177,47.6754399169466,45,635,12151,660,Redmond Elementary School,Redmond,16800 NE 80th St,98052,-122.11648828,47.67543775,10,LAKE WASHINGTON,0125059048,012505,9048,School-Elementary,2289
-122.168547653427,47.4514863151248,46,740,898496,660,Renton Park Elementary School,Renton Park,16828 128th Ave SE,98058,-122.16855012,47.45148418,10,RENTON,2823059084,282305,9084,School-Elementary,3521
-122.309285395896,47.613373816469,47,6600227,447450,664,Seattle World School,Seattle World,1700 E Union St,98122,-122.30928711,47.61337197,10,SEATTLE,7234600635,723460,0635,School-Alternative,0
-122.197492290513,47.5174306364012,48,704,892489,660,Kennydale Elementary School,Kennydale,1700 NE 28th St,98056,-122.19749441,47.51742857,10,RENTON,3342103310,334210,3310,School-Elementary,2597
-122.113197863462,47.6917306710868,49,617,12147,660,Horace Mann Elementary School,Horace Mann,17001 NE 104th St,98052,-122.11319913,47.6917285,10,LAKE WASHINGTON,3626059017,362605,9017,School-Elementary,0
-122.114074052982,47.4365131449401,50,6600248,12202,661,Northwood Middle School,Northwood,17007 SE 184th St,98058,-122.11407659,47.43651088,10,KENT,3623059009,362305,9009,School-Junior High/Middle,4485
-122.306611314538,47.5882479444118,51,6600715,1132055,664,Hamlin Robinson School,HRS,1701 20th Ave S,98144,-122.30661314,47.58824609,20,SEATTLE,7548300835,754830,0835,School-Alternative,
-122.115426486397,47.4835236728435,52,746,573184,660,Briarwood Elementary School,Briarwood,17020 SE 134th St,98059,-122.11542875,47.4835214,10,ISSAQUAH,1323059026,132305,9026,School-Elementary,3440
-122.113933829423,47.3538557895871,53,562,663186,660,Covington Elementary School,Covington,17070 SE Wax Rd,98042,-122.11393684,47.35385353,10,KENT,3622059081,362205,9081,School-Elementary,3388
-122.151747133791,47.7523172710245,54,790,21198,666,Bellevue Christian School,Bellevue Christian,17110 140th Ave NE,98072,-122.15174814,47.7523152,20,NORTHSHORE,1026059076,102605,9076,School-K-12,0
-122.139798000949,47.7519968209531,55,801,202643,660,Hollywood Hill Elementary School,Hollywood Hill,17110 148th Ave NE,98072,-122.139799,47.75199473,10,NORTHSHORE,1126059032,112605,9032,School-Elementary,4124
-122.053070232959,47.6255963065356,56,655,12222,660,Margaret Mead Elementary School,Margaret Mead,1725 216th Ave NE,98074,-122.05307177,47.62559398,10,LAKE WASHINGTON,2825069055,282506,9055,School-Elementary,4096
-122.106417082215,47.6949213661156,57,632,568136,662,Redmond High School,Redmond High,17272 NE 104th St,98052,-122.10641832,47.69491919,10,LAKE WASHINGTON,3626059014,362605,9014,School-High,3528
