,NAME,SEAT_CAP,long,lat
0,A'Jhang Market,Grocery,-122.3456304,47.6137855
1,A-Chau Cafe,Seating 13-50,-122.27119275210893,47.5405602
2,A-Pizza Mart,Seating 0-12,-122.3763925,47.5177162
3,A & B Cafe; Inc.,Seating 13-50,-122.3240809,47.5976268
4,A & H World Market,Seating 0-12,-122.28618669011647,47.38925705
5,A & J Meats & Seafood,Meat/Sea Food,-122.357325,47.63973
6,A Cottage Creek Inn B & B,Bed and Breakfast,-122.1054768,47.6779297
7,Ahadu,Seating 13-50,-122.3120443,47.7141583
8,Airfield Estates Winery,Seating 13-50,[0.0],[0.0]
9,Airport 76,Seating 0-12,[0.0],[0.0]
10,Airport Shell,Grocery,[0.0],[0.0]
11,Airport Way Market,Seating 0-12,-122.31437329526312,47.54746815
12,Airways Brewing Beer & Bistro,Seating 13-50,-122.2356443,47.3819049
13,Aj'S Espresso @ 17311 Vashon Hwy Sw,Limited Food Services,-122.46064174822364,47.449983399999994
14,Aji Sushi & Grill,Seating 13-50,[0.0],[0.0]
15,Aki Kurose,School Kitchen,-122.28209764474863,47.54658895
16,Al'S Gourment Sausages @  1029 Occidental,Mobile Food Service,-122.3089966,47.6402843
17,Al'S Gourmet - Dteh034 / 1029 Occidental,Mobile Food Service,-122.3089966,47.6402843
18,Al'S Gourmet Sausge @  1029 Occidental,Mobile Food Service,-122.3089966,47.6402843
19,Al'S Tavern,Seating 13-50,-122.3311202,47.6612631
20,Al-Madina Grocery,Seating 0-12,-122.21655497807156,47.48368165
21,Al-Noor Grocery & Halal Meat,Seating 0-12,-122.2762673,47.5458891
22,Al Boccalino,Seating 13-50,-122.3357382,47.6015874
23,Al Hidaya Halal Grocery,Meat/Sea Food,-122.2895022,47.4676614
24,Al Shukr Mini Market & Bakery,Seating 0-12,-122.2972529,47.4223957
25,Aladdin Falafel Corner,Seating 0-12,-122.3132934,47.6624595
26,Aladdin Gyro-Cery & Deli,Seating 13-50,-122.3133806,47.658038
27,Alano Club Eastside,Non-Profit Institution,-122.1655728,47.6172417
28,Alanya Cafe,Seating 0-12,-122.2068162,47.6756509
29,Alaska Ale House,Seating 51-150,[0.0],[0.0]
30,Alaska Smokehouse,Grocery,[0.0],[0.0]
31,Arthur Jacobsen Elem School,School Kitchen,-122.1664877,47.3232076
32,Artisan Cafe,Seating 13-50,-122.3462629,47.6177081
33,Arts West Playhouse,Seating 0-12,-122.3870227,47.5607163
